date,headline,description
2024-04-04 16:37:47,Fed’s Kashkari: Bitcoin has had no legitimate use case in more than a decade,"Neel Kashkari, President and CEO of the Federal Reserve Bank of Minneapolis, said that Bitcoin ( BTC-USD ) is more of a consumer protection issue than a financial stability risk. During a conversation with Pensions & Investments Editor-in-Chief Jennifer Ablan in a LinkedIn Live event, Kashkari said that consumers are investing money in Bitcoin ( BTC-USD ), “not knowing what their investing in,” and that the cryptocurrency is “so volatile that some people could be put in a lot of harm's way.” He said that Bitcoin’s ( BTC-USD ) hard cap could go down to zero, and compared it to Beanie Babies with “no actual utility in the economy, other than being a nice toy that some people enjoy owning and trading.” He added that the only use cases he has seen are cases where traders are “trying to subvert banking regulations, get around either marijuana banking, or illicit activities.” In addition, he used Amazon ( AMZN ) as a comparison. “The ‘Bitcoin bros’ would say…in 1994 nobody ever bought a book online, so [someone could say] Amazon ( AMZN ) has no future. This is not Amazon in 1994. This is Amazon in 2004. Bitcoin has been around for more than a decade, and more than a decade later, there's still no legitimate use case in an advanced democracy.” More on Bitcoin USD Penthouse To Prison: Sam Bankman-Fried Sentenced To 25 Years As Bitcoin Resurges Bitcoin: Potential Correction Despite ETFs And Halving Bitcoin: Flows And Tech Optimism ProShares launches new ETFs offering leveraged and short bitcoin exposure Bitcoin drops 6.4% pulling crypto-related stocks down"
2024-04-04 11:57:32,Bullish sentiment falls amid talks of interest rate cut - AAII,"Optimism among individual investors about the short-term outlook for the stock market has declined this week amid talks of interest rate cut coming to the spotlight again. A total of 47.3% respondents of the American Association of Individual Investors, or AAII, Sentiment survey showed optimism about where the market is headed in the next six months, compared to 50% of those polled a week before. The historical average stands at 37.5%, while the 1-year bullish high is 52.9%. Meanwhile, the percentage of surveyors who felt bearish about the market also fell slightly this week. It came in at 22.2%, compared to the 22.4% figure last week. Neutral sentiments rose this week, with 30.5% of the investors polled by AAII seeing no change in the market direction. The number was 27.6% the week before. The survey results came after Federal Reserve Chair Jerome Powell on Wednesday repeated the need for more evidence before cutting rates, indicating that a slight possibility of rate cuts later this year. Powell said he doesn't expect ""that it will be appropriate"" to lower the policy rate until ""we have greater confidence that inflation is moving sustainably down toward 2%."" This has led to Wall Street’s main stock indexes gain on Thursday. However, a recent Seeking Alpha analysis by Michael Kramer pointed out that “rising commodity prices and warning signs indicate that inflation readings in the coming months may not be favorable, reducing the likelihood of rate cuts in 2024.” Separately, data from the Institute for Supply Management showed that U.S. services growth slowed in March, with PMI falling to 51.4 versus 52.6 in February. The S&P 500 index ( SP500 ) fell 0.8% in the last one week, while Dow Jones Industrial Average Index ( DJI ) declined 1.7%. NASDAQ Composite Index ( COMP:IND ) fell 0.6%. NASDAQ 100-Index ( NDX ) declined 0.5% since March 28. Bitcoin USD ( BTC-USD ) fell 6% since last Thursday. Gold ( XAUUSD:CUR ), which gained nearly 3% in the last one week, jumped to another record high on Wednesday after Powell's remarks. More news on market Spring 2024 Snapshot Of The S&P 500's Market Cap Greenback Losses Extended, But Look For Consolidation In North America S&P 500 And Bond Market Annual Returns; Style Box Update Dow, Nasdaq, S&P move up as interest rates come back in focus"
2024-04-04 10:50:44,"Ripple to debut dollar-pegged stablecoin on XRP Ledger, Ethereum","Cryptocurrency firm Ripple said On Thursday it is planning to launch its own stablecoin backed by the U.S. dollar, making its first foray into the $150B market. The stablecoin will be pegged one-to-one to the U.S. dollar, backed by USD deposits, short-term U.S. Treasuries, and other cash equivalents. Such reserve assets will be audited by a third-party accounting firm, the company said in a statement, adding it will publish monthly attestation reports. Ripple's stablecoin will be issued on the XRP Ledger on Ethereum ( ETH-USD ) blockchains, a move that will serve as a pivotal entry point to unlock new opportunities for institutional and DeFi use cases across multiple ecosystems,” said Ripple President Monica Long. “The XRP Ledger’s native capabilities, including a decentralized exchange and automated market maker, were built to utilize XRP as the bridge asset. Bringing a trusted stablecoin onto XRPL will drive more adoption and development, contributing to a vibrant ecosystem,” she added. Ripple noted it plans to expand to additional blockchains and decentralized finance (DeFi) protocols and applications over time. By market cap, Tether ( USDT-USD ) is the world's largest stablecoin, followed by USDC ( USDC-USD ) and Dai ( DAI-USD ). Payments giant PayPal ( PYPL ) launched last year a USD-denominated stablecoin called PayPal USD ( PYUSD-USD ). More on the Stablecoin Market Binance to end support of USDC stablecoin via Tron network U.S., U.K. investigate $20B of crypto transfers to sanctioned exchange Garantex - report Terra-Luna crash: Terraform Labs files for Chapter 11 bankruptcy"
2024-04-04 10:10:14,SATO Technologies total BTC earned came in at 26,"SATO Technologies ( OTCQB:CCPUF ) said its total BTC earned came in at 26, unchanged from last month. For March, the company earned mining revenues of $1.8M vs $1.3M in February. SATO sold about 16 BTCs in March, compared to 23 BTCs in the previous month. More on SATO Technologies Historical earnings data for SATO Technologies Financial information for SATO Technologies"
2024-04-04 10:00:56,"Goldman Sachs spotlights Q1 winners and losers, naming: Bitcoin, NVDA, BA, TSLA, and more","The S&P 500 ( SP500 ) had a great start to the 2024 trading year as the benchmark index returned 11% in Q1 with the market rally broadening out beyond the mega cap tech and magnificent seven sphere of names. Goldman Sachs highlighted that the market in 2024 has seen strong performances across multiple sectors, styles, and segments. Some of the most some notable areas that provided strong returns in Q1 were bitcoin ( BTC-USD ) and oil ( CL1:COM ), along with the Communication Services ( XLC ) sector, Energy ( XLE ), and Information Technology ( XLK ). At the other end of the spectrum the areas that suffer the most during the first quarter were Real Estate ( XLRE ), along with the 7-10-year Treasury funds ( IEF ), and the Euro/Dollar ( EUR:USD ) trade. See the chart that Goldman Sachs provided below: Taking a deeper dive and the investment bank also showcased the S&P 500’s top and bottom performers in Q1. See the top five names that were listed on both ends of the spectrum according to Goldman Sachs. Top 5 Q1 S&P 500 Performers No. 5: Micron Technology ( MU ) +38% . No. 4: Deckers Outdoor ( DECK ) +41% . No. 3: Constellation Energy ( CEG ) +58% . No. 2: Nvidia ( NASDAQ: NVDA ) +82% . No. 1: Super Micro Computer ( SMCI ) +255% . Bottom 5 Q1 S&P 500 Performers No. 5: Humana Inc. ( HUM ) -24% . No. 4: MarketAxess Holdings ( MKTX ) -25% . No. 3: Charter Communications ( CHTR ) -25% . No. 2: Boeing ( NYSE: BA ) -26% . No. 1: Tesla ( NASDAQ: TSLA ) -29% . More on Markets S&P 500 holds its bullish trend as it defends the 20-day MA yet again - BTIG Biggest stock movers today: SQ, BB, LUNR, and more Spring 2024 Snapshot Of The S&P 500's Market Cap Dow, Nasdaq, S&P move up as interest rates come back in focus Steve Cohen - Markets are not in an AI-fueled bubble"
2024-04-04 09:38:22,Coinbase gets registration license in Canada amid U.S. regulatory crackdown,"Coinbase Global ( NASDAQ: COIN ) has obtained a restricted dealer license in Canada, according to a Thursday media report, enabling the U.S.-based cryptocurrency exchange to operate legally in the country. The Brian Armstrong-led company, which is facing a regulatory crackdown in the U.S., has been registered in Ontario as a restricted dealer under the Canadian Securities Administrators (""CSA""). Compared with the U.S., Canada's regulatory clarity is far better for crypto firms, one of the main reasons why Coinbase ( COIN ) considered last year relocating outside the U.S. Last year, for instance, Canada laid out new guidelines for crypto exchanges that put a cap on how much certain investors can invest in crypto. Coinbase ( COIN ) had filed its pre-registration undertaking with the Ontario Securities Commission in March 2023, the article said , and subsequently opened up shop in the country in August. The crypto and exchange has been in a legal battle with the U.S. Securities and Exchange Commission for a nearly a year, with both parties suing one another. In the latest development, a U.S. judge ruled that the SEC's lawsuit against the Coinbase ( COIN ) can move forward. ""We currently believe that this case will be a long legal battle and will likely go to the Supreme Court to get the final decision,"" Oppenheimer analyst Owen Lau wrote in a note to clients. More on Coinbase Coinbase: Downside Overshadows Optimism Coinbase: How Big Is The Bitcoin ETF Opportunity? Coinbase: My Pick For The Most Overvalued U.S. Stock MicroStrategy among most squeezable as crypto short interest climbs Coinbase stock dips as judge rules SEC case can move forward"
2024-04-04 09:14:49,"Riot Platforms mines 425 Bitcoins in March, up 2% M/M","Riot Platforms ( NASDAQ: RIOT ) mined 425 Bitcoins ( BTC-USD ) in March, up ~2% from the previous month and down 39% from a year before, it said on Thursday. Still, at the end of March, the company held 8,490 Bitcoins ( BTC-USD ), more than the 8,067 tokens held in February and the 7,072 in March 2023. Its deployed hashrate at month-end was 12.4 EH/s, unchanged from February and up from 10.5 EH/s in the year-earlier period. ""We have already received a majority of the miners required for Building A2 and expect the balance to be received during April. Our self-mining capacity is expected to reach 31 EH/s by the end of 2024, upon full deployment of miners in the first four buildings at our Corsicana Facility,” said CEO, Jason Les. Shares in the company up 3.3% in pre-market trade. More on Riot Platforms Riot Platforms Is Too Cheap To Ignore Riot Platforms Looks Poised To Ride The Bitcoin Rally Riot Platforms: Efficiency Woes And Underperformance (Rating Downgrade) Riot Platforms raised to Overweight at J.P. Morgan on growth prospects Bitcoin tumbles from all-time high, dragging crypto stocks down"
2024-04-04 08:59:14,Bitcoin Depot announces expansion into Australia with 125 bitcoin ATMs,"Bitcoin Depot ( NASDAQ: BTM ) Thursday rose over 4% in premarket trading as the U.S.-based bitcoin ATM operator said it plans to expand its footprint internationally into Australia and ship 125 kiosks to the country in Q2 2024. The company anticipates further expanding its global presence by offering its cash-to-Bitcoin services to individuals across the metropolitan cities of Sydney, Melbourne, and Brisbane. Source: Press Release More on Bitcoin Depot Bitcoin Depot Inc. 2023 Q4 - Results - Earnings Call Presentation Bitcoin Depot Inc. (BTM) Q4 2023 Earnings Call Transcript Bitcoin Depot: Watchlist Worthy Bitcoin Depot expands into Puerto Rico with nearly 100 BTM locations signed Bitcoin Depot reports Q4 results; initiates Q1 outlook"
2024-04-04 08:51:36,Bitdeer mines 294 bitcoins in March,"Bitdeer Technologies ( NASDAQ: BTDR ) said Thursday it mined 294 bitcoins ( BTC-USD ) in March, up 28.4% from last year and also compared to February. Total hash rate under management was 22.5 EH/s in March, up 0.5 EH/s from February. Proprietary hash rate as of March was 8.4 EH/s, equivalent to proprietary hash rate as of February 29. Mining machines under management were 226K in March, compared to 222K in February. Press Release . More on Bitdeer Technologies Bitdeer: Bullish On Bitcoin, Branching Out For Growth Bitcoin tumbles from all-time high, dragging crypto stocks down Bitdeer Technologies nabs Buy rating from Benchmark on expansion outlook Seeking Alpha’s Quant Rating on Bitdeer Technologies Historical earnings data for Bitdeer Technologies"
2024-04-04 08:48:41,"Marathon Digital mines 894 Bitcoins in March, up 7% from previous month","Marathon Digital ( NASDAQ: MARA ) said it mined about 894 Bitcoins ( BTC-USD ) in March, up 7% from the previous month. The increase in production comes despite certain challenges that the company faced throughout the first quarter. ""Throughout the first quarter, our Bitcoin production has been impacted by unexpected equipment failures, transmission line maintenance, and higher than anticipated weather-related curtailment across multiple sites,"" said CEO and chair, Fred Thiel. The average BTC produced per day was 28.8 BTC vs. 28.7 BTC in February. Marathon's ( MARA ) BTC holdings were 17,381 BTC; total cash and BTC of $1.6B as of March 31, 2024. Shares in the company up 3.2% in pre-market trade. More on Marathon Digital Holdings Marathon Digital Is No Longer A Bitcoin Proxy Marathon Digital: Buy Rating On The Post-Earnings Dip MARA introduces immersion cooling system to enhance data-center operations Marathon Digital launches new firmware for bitcoin mining rigs"
