date,headline,description
2024-05-04 00:04:24,Grayscale's Bitcoin ETF Sees First Inflow After Billions Lost Since January,GBTC| the biggest spot bitcoin ETF| has seen its assets under management lead over BlackRock's IBIT shrink.
2024-05-03 22:14:07,Former Cred Executives Indicted on Wire Fraud| Other Charges,Daniel Schatt| a Cred co-founder and former CEO| Joseph Podulka| former CFO| and James Alexander| the former chief capital officer| were indicted by the U.S. Attorney's Office in the Northern District of California.
2024-05-03 22:11:59,BTC-e Operator Alexander Vinnik Pleads Guilty to Money Laundering Conspiracy Charge,Alexander Vinnick| the Russian national who was one of BTC-e's operators| pled guilty to conspiracy to commit money laundering for his role with the crypto exchange.
2024-05-03 19:38:35,Full Transcript: Why MoonPay and PayPal Partnered to Expand Crypto Adoption in the U.S.,"MoonPay co-founder and CEO Ivan Soto-Wright joins CDTV's ""First Mover"" to discuss MoonPay's recent partnership with PayPal."
2024-05-03 17:26:50,The Dollar Won| but Might the U.S. Lose Control of the Dollar?,We have a world currency already: it's the dollar. Do we want to keep it that way?
2024-05-03 16:55:10,Bitcoin Hits $62K as Cryptos Bounce; Correction Likely Over But Expect a 'Slow Grind Higher|' Arthur Hayes Says,Bitcoin will likely trade in a range between $60|000 and $70|000 through the next few months| the former BitMEX CEO said.
2024-05-03 14:52:38,Polkadot and Cosmos Gain in a Rocky Week for Crypto: CoinDesk Indices Market Update,All but four cryptos in the CoinDesk 20 posted losses over the last week| led by declines in NEAR| BCH| and DOGE.
2024-05-03 14:30:35,Bitcoin’s Recent Weakness Is More Tied to Global Markets Than to Anything Crypto Specific| Coinbase Says,Both equities and gold have been trading lower since reaching highs in mid-April| the report said.
2024-05-03 14:07:07,Exploiter Steals $68M Worth of Crypto Through Address Poisoning,"A cryptocurrency user has lost $68 million worth of wrapped bitcoin (WBTC) after falling victim to an ""address poisoning"" exploit| according to blockchain security firm CertiK."
2024-05-03 12:36:07,U.S. April Job Additions of 175K Miss Forecasts for 243K| BTC Rises Above $60K,
2024-05-03 12:06:42,First Mover Americas: Bitcoin Hovers Around $59K to End Week,The latest price moves in bitcoin (BTC) and crypto markets in context for May 3| 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.
2024-05-03 11:42:21,UK Local Elections Show Swing to Labour With General Election Pending,The government| which has adopted a pro-crypto stance| must hold a general election by end-January.
2024-05-03 11:22:15,Bitcoin's Price Recovery Faces Nonfarm Payrolls Test,Bitcoin held steady as the dollar index nursed losses ahead of a U.S. jobs report that is expected to show the unemployment rate remained below 4% for the 27th straight month.
2024-05-03 10:33:12,Crypto Exchange Coinbase Had a Blowout First Quarter: Analysts,The business has a number of positive catalysts including its smart wallet Coinbase Prime| layer-2 network Base and its growing international offering| the analysts said.
2024-05-03 10:16:47,Kraken's Indices Provider Anticipates $1B AUM in Hong Kong ETFs by 2024 End: Bloomberg,CEO Sui Chung sees South Korea and Israel as the next markets to list crypto ETFs.
2024-05-03 08:42:16,Friend.Tech's Native Token Tanks to $2.5 After Debut,Early Friday| Friend.Tech airdropped its native token| FRIEND| while debuting version 2 of the platform.
2024-05-02 20:46:55,Jack Dorsey's Block Adding More Bitcoin to Balance Sheet| Presents Road Map for Others,The payments firm announced the news alongside its first quarter earnings report on Thursday afternoon.
2024-05-02 18:51:34,Tether Enters Transaction Surveillance Partnership with Chainalysis as Regulatory Pressure Mounts,The monitoring system would help Tether identify risky crypto addresses that could be used for bypassing sanctions or illicit activities like terrorist financing| the company said.
2024-05-02 16:00:18,Crypto Market Sell-Off Was Driven by Retail Investors| JPMorgan Says,Crypto markets have seen significant profit taking in recent weeks with retail investors playing a bigger role than institutions| the report said.
2024-05-02 16:00:00,Crypto for Advisors: Digital Asset Custody’s Future,Once they reach a certain level of sophistication| there’s a clear trend for Web3 asset holders to transition their digital asset wealth to self-custody.
2024-05-02 15:46:07,U.S. Senate's Warren Warns National Security Chiefs About Iranian Crypto Mining,U.S. Sen. Elizabeth Warren (D-Mass.)| one of the most prominent critics of cryptocurrency hazards| warned the top military and financial officials that Iran relies on digital assets mining as a source of revenue that can lessen the pressure from U.S. sanctions.
2024-05-02 15:21:46,MicroStrategy Unveils Plan for Bitcoin-Based Decentralized Identity Using Ordinals,"MicroStrategy has already built one application using its service. ""Orange For Outlook"" integrates digital signatures into emails to enable recipients to verify the identity of the sender."
2024-05-02 14:33:56,Tokenized Private-Credit Platform Untangled Opens Its First USDC Lending Pool on Celo,Private credit has been at the forefront of crypto's asset tokenization trend with over $600 million outstanding on-chain assets.
2024-05-02 14:04:39,LayerZero Takes Snapshot as Airdrop Draws Closer,The interoperability protocol indicated that there will be a series of airdrops.
2024-05-02 13:02:53,Bitcoin Miner Stronghold Looking at Options| Including Sale of Company,The miner is looking at options including sale of all or part of the company and other strategic transactions.
2024-05-02 13:00:00,MoonPay Users Can Now Buy Crypto Via PayPal,
2024-05-02 13:00:00,Web3 Publishing Platform Mirror Sells to Paragraph| Pivots to Social App 'Kiosk',Mirror and Paragraphs are rivals in the Web3 publishing space| and their deal allows Mirror's team to operate as an independent company focused exclusively on social media.
2024-05-02 13:00:00,TradFi Veterans Pitch Tokenized Asset Marketplace With Eyes on U.S. Regulatory Approval,Ironlight| helmed by the former global head of trading of Schroeder and Abu Dhabi's sovereign wealth fund ADIA with the ex-CEO of TD Bank as an adviser| aims to be a premier tokenization| listing and trading ecosystem for real-world assets targeting big investors.
2024-05-03 13:18:39,Protocol Village: Polyhedra Says Open-Source ZK Proof System 'Expander' 2x Faster Than Alternatives,The latest in blockchain tech upgrades| funding announcements and deals. For the period of May 2-8.
2024-05-02 12:25:59,Binance Nigeria Money Laundering Trial Delayed to May 17| Says Gambaryan Family Spokesperson ,Binance's lawyer needed more time to look at evidence from Nigeria's Economic and Financial Crimes Commission.
2024-05-02 12:07:54,First Mover Americas: BTC Stabilizes Around $58K Following Yesterday's Rout,The latest price moves in bitcoin (BTC) and crypto markets in context for May 2| 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.
2024-05-02 11:48:41,Bitcoin’s Volatility Is Falling and This Will Continue as It Matures: Fidelity,The cryptocurrency is already showing signs of maturity as its volatility drops to all-time lows on a yearly scale| the report said.
2024-05-02 11:02:21,BlackRock Sees Sovereign Wealth Funds| Pensions Coming to Bitcoin ETFs,The asset manager has been helping educate pension funds| endowments and sovereign wealth funds about the new spot bitcoin ETF products| the firm's head of digital assets said.
2024-05-02 09:36:18,Bitcoin 'Call Writing' Back in Vogue as Cash And Carry Strategy Loses Shine,Recently| traders have sold $80|000 BTC call options expiring at the end of May to generate additional yield| one observer said.
2024-05-02 07:48:30,Former FTX Europe Head Pays $1.5M for Gold Watch Recovered From Titanic: WSJ,Patrick Gruhn| the former head of FTX Europe| has paid nearly $1.5 million for a gold pocket watch recovered from the body of the Titanic’s richest passenger| The Wall Street Journal has reported.
2024-05-02 06:04:14,Rabotnik| Affiliate of Ransomware Group REvil| Sentenced to 13 Years in Jail,Ukrainian national| Yaroslav Vasinskyi| also known as Rabotnik| has been sentenced 13 years and seven months in prison for his role in conducting over 2|500 ransomware attacks and demanding over $700 million in ransom payments| the Department of Justice announced Wednesday.
2024-05-02 05:37:08,BlackRock's Bitcoin ETF Posts First Day of Outflows| Leading Record $563M Exit From U.S. Spot Products,Fidelity's FBTC| not GBTC| led outflows on Wednesday in what may be an alarming development for the bulls.
2024-05-02 00:07:34,CZ’s Trial Proves It Pays to Cooperate,His four-month sentence was vindication for the Binance founder’s legal strategy.
2024-05-01 18:08:58,Federal Reserve Holds Policy Steady| Says Progress on Inflation Has Stalled,Hopes for a series of interest rate cuts in 2024 have been quickly vanishing over the past few weeks as both the economy and inflation exhibit unexpected strength.
2024-05-01 18:00:00,The Protocol: EigenLayer's 'Intersubjective Forking' Is Objectively Not Done,Much-hyped restaking project EigenLayer's 43-page whitepaper about its now-revealed EIGEN token has raised lots of questions. They may not matter initially| because much of the promised functionality won't be ready when the token launches.
2024-05-01 17:32:40,Bitcoin's Ethereum-Style Programmability Could Come in 12 Months| Rootstock Founder Says,
2024-05-01 16:00:00,An ETH ETF Wouldn’t Deliver Full-Returns to Investors,An SEC approval for spot ETH ETFs looks unlikely but even if the SEC approves exchange traded funds for Ether| investors should learn about total return ETH investment products. That way| they can gain from staking rewards as well as the underlying asset| says Jason Hall| the CEO of Methodic Capital Management.
2024-05-01 16:00:00,‘Sell in May and Go Away’: The Seasonality of Crypto-asset Returns,The summer months| between June and September| have historically brought significantly lower investor returns than other months of the year| says André Dragosch| head of research at ETC Group.
2024-05-01 14:37:27,Bitcoin Could Drop Further to as Low as $50K| Standard Chartered Says,The cryptocurrency is now trading below the average spot ETF purchase price of about $58K| and this could trigger liquidations| the report said.
2024-05-01 14:24:10,RWA Tokenization Firm Securitize Raises $47M Led by Fund Partner BlackRock,BlackRock and Securitize last month teamed up to create the BlackRock USD Institutional Digital Liquidity Fund| which may prove to be geared toward RWA tokenization.
2024-05-01 14:08:48,As CZ Gets His Sentence| Michael Lewis Should Rewatch 'Star Wars',He likened FTX's Sam Bankman-Fried to Luke Skywalker and Binance's Changpeng Zhao to Darth Vader. Federal judges saw it differently.
2024-05-01 13:00:00,Blockchain Sleuth Elliptic Explores AI and Anti-Money Laundering Using 200M Bitcoin Transactions,Patterns of illicit activity involving groups of bitcoin nodes and chains of transactions are described in a research paper by Elliptic and MIT-IBM Watson AI Lab.
2024-05-01 12:19:09,First Mover Americas: Bitcoin Sinks Below $58K in Run-Up to Fed Decision,The latest price moves in bitcoin (BTC) and crypto markets in context for May 1| 2024. First Mover is CoinDesk’s daily newsletter that contextualizes the latest actions in the crypto markets.
2024-05-01 12:01:00,Restaking 'Gold Rush' Spreads to Solana From Ethereum| With Jito and Others Joining In,Restaking has taken hold of the Ethereum ecosystem. With Jito and a handful of other companies building for Solana| can the trend spread?
2024-05-01 10:49:39,Crypto Was One of the Biggest Money Laundering Risks in 2022-2023: UK Govt. Report,Between 2022 and 2023 Crypto alongside retail banking| wholesale banking and wealth management posed the greatest risk of being exploited for money laundering| a report by the U.K. Treasury department showed.
