date,headline,description,sentiment
2024-05-07 15:53:35,revolut expands crypto push with uk trading platform,The platform will allow U.K. customers to buy and sell over 100 tokens.,0.36583868
2024-05-05 23:33:09,"crypto bros eager to buy homes lifted prices as the wealth effect from tokens spilled over to some housing markets, study says","Home prices in crypto-wealthy counties grew 43 basis points faster, pushing the median house price up by about $2,000 in 12 months.",0.9446427
2024-04-29 15:40:25,are crypto partnerships back? eminem becomes new voice of crypto.com,Eminem is narrating a new Crypto.com commercial. Are celebrity ambassadors prepared to put 2022 behind them?,0.040013276
2024-05-01 13:00:00,ex-coinbase designer raises $5m for crypto voting service agora,"Protocol governance has a ""reputation of being chaotic."" Agora wants to change that.",0.0351006
2024-04-24 13:00:00,crypto app strike launches bitcoin services across europe,Founder and CEO Jack Mallers said the company is profitable after an $80 million funding round in 2022.,0.8232304
2024-05-16 16:00:05,top new york regulator adrienne harris optimistic about a federal stablecoin deal—but not at the expense of state authority,The Department of Financial Services superintendent spoke at a Fortune event about crypto oversight and bank stability.,0.08588744
2024-04-30 19:02:46,"binance founder changpeng ‘cz’ zhao sentenced to 4 months in prison, will enter as country’s richest inmate","The settlement came amid a string of enforcement actions against crypto industry leaders, including FTX's Sam Bankman-Fried.",0.062142044
2024-05-08 12:00:00,"genesis and ledgerprime alum raise $28 million for arbelos, a crypto trading rival to jane street","As institutional money floods into crypto, the industry veterans are building a derivatives-focused business to provide liquidity to hedge funds and VCs.",0.12378065
2024-04-19 19:56:39,don’t call it a stablecoin: how did a ‘synthetic dollar’ generate a yield of 113%?,"DEK: Tokenizing the cash-and-carry trade, Ethena is turning heads in the crypto market. But some worry its risks are being overlooked amid the latest bull run.",0.04087201
2024-05-01 17:02:59,"bitcoin tumbles below $57,000 on day of fed meeting","With slowing ETF inflows and the Bitcoin halving in the rearview, the crypto industry is facing macroeconomic conditions, which are ""cloudy at best.”",0.014629143
2024-05-02 13:00:00,ex-dfs regulator raises $5.1 million for crypto venture fund backed by winklevoss twins and robert leshner,Matthew Homer was formerly an executive deputy superintendent at the New York Department of Financial Services.,0.027740013
2024-05-01 12:00:00,blackrock leads $47 million round for securitize: ‘another step in the evolution of our digital assets strategy’,"Other investors include Hamilton Lane and Tradeweb Markets, with traditional financial firms diving headfirst into tokenization.",0.05931719
2024-04-23 16:44:48,"following ‘halving,’ bitcoin makes slight gains as shares of crypto-linked firms soar","Bitcoin is up less than 4% since the halving, but related stock prices are seeing bigger gains.",0.9545797
2024-05-09 16:00:35,"crypto giant dcg post surges in revenue, grayscale profitable despite $15 billion in outflows",Venture capital firm Digital Currency Group’s consolidated revenues reached $229 million in the first quarter of 2024—a year-over-year increase of over 50%.,0.95376813
2024-04-25 18:01:08,"sec sued over ethereum, crypto firm asks court to state token is not a security","The lawsuit was filed by MetaMask-maker Consensys, which is seeking an injunction to block the SEC from investigating Ethereum.",0.027281303
2024-05-14 16:08:07,president biden just shut down a chinese crypto miner in wyoming—but dozens of others remain,The administration has given the miner and its partners 120 days to sell the land they operate on due to spying concerns.,0.0118249785
2024-04-30 18:54:07,feds charge ‘bitcoin jesus’ with $50 million tax fraud,Roger Ver is a famous figure from the early days of Bitcoin who renounced his citizenship.,0.042648003
2024-04-30 21:28:54,paypal ceo nods to ‘compelling’ stablecoin potential as total q1 payments rise 14%,"PayPal's quarterly earnings were up, but its CEO stayed relatively quiet on the company's new stablecoin.",0.61507165
2024-05-06 00:07:50,"nearly all stablecoin transactions are from bots and large-scale traders, not genuine users, study says","Out of about $2.2 trillion in total transactions in April, just $149 billion originated from “organic payments activity,” according to Visa.",0.0655433
2024-04-25 09:03:12,instagram influencer ‘jay mazini’ who swindled millions in crypto scheme that preyed on muslims sentenced to 7 years in jail,Former Instagram influencer “Jay Mazini” who swindled millions of dollars from online followers and a network of Muslims was sentenced to seven years in prison.,0.070712015
