date,headline,description
2024-05-03 16:58:35,Crypto platform Bakkt to lay off 28 employees,"Bakkt Holdings ( NYSE: BKKT ) disclosed on Friday it will lay off 28 employees, representing ~13% of its non-call center, full-time workforce. Shares of the cryptocurrency trading platform rose 2.2% in extended trading. Bakkt ( BKKT ) added that chief accounting officer Charles Goodroe will step down from his position, effective May 22. Finance chief Karen Alexander will assume the role of principal accounting officer upon his departure. The company expects to incur charges in the range of $0.8 million to $1.0 million related to the workforce reduction, which will be recognized in the second-quarter of 2024. In late April, Bakkt ( BKKT ) announced a 1-for-25 reverse stock split to regain compliance with the New York Exchange's listing requirements. The crypto platform is scheduled to report first-quarter results on 14th May, after market close. More on Bakkt Holdings Bakkt Holdings, Inc. (BKKT) Q4 2023 Earnings Call Transcript Bakkt Holdings, Inc. 2023 Q4 - Results - Earnings Call Presentation Bakkt announces 1-for-25 reverse stock split Biggest stock movers today: MTTR, CAH, INFA, crypto-related stocks and more Seeking Alpha’s Quant Rating on Bakkt Holdings"
2024-05-03 15:27:28,"Bitcoin bounces back after soft jobs report, crossing $60K threshold","Bitcoin ( BTC-USD ) rebounded Friday after a soft U.S. jobs report alleviated worries about higher-for-longer interest rates. The largest cryptocurrency by market cap ( BTC-USD ) jumped 4% to $61.7K at 3:27 p.m. ET, compared with the $59.1K mark it changed hands at just minutes before the April nonfarms payroll report arrived. The U.S. economy added 175K jobs in April , less than the 243K expected and a slower pace than the 315K notched in March (revised from 303K), according to the U.S. Department of Labor. The latest tally marks the smallest payroll growth of 2024, with the largest being 315K in March. Wage growth also cooled last month, potentially giving the Federal Reserve the confidence to ease rates later this year. Ether ( ETH-USD ), the world's largest altcoin, too, saw buying pressure on the back of the cooler-than-expected jobs data, advancing 2.2% to $3.06K at the time of writing. Note the crypto-price gains coincided with a strong stock-market rally, with all three major U.S. indices rising at least 1%. ""It's intriguing to note that Bitcoin rose by 5% following the NFP miss,"" Althea Spinozzi, head of Fixed Income Strategy at Saxo, said in an X post. ""Clearly, the data weren’t weak enough to trigger a broad selloff in risky assets; instead, they had the opposite effect. As long as markets see a soft landing & inflation is sticky, yields are likely to rise."" Many crypto-related stocks posted intraday gains as well: MicroStrategy ( MSTR ) +7.7% , Riot Platforms ( RIOT ) +1.6% , Marathon Digital ( MARA ) +2.4% , Galaxy Digital ( OTCPK:BRPHF ) +3.4% , Bakkt ( BKKT ) +1.6% and CleanSpark ( CLSK ) +1.1% . More on Bitcoin USD Bitcoin: Future Results, Not Past Performance (Technical Analysis) We Are Raising Our Bitcoin Targets To $106K - $190K Bitcoin: Smart Money Is Taking Profits, Why Shouldn't You? Bitcoin falls 3.2% as Fed keeps interest rate unchanged J.P. Morgan cautious on crypto with retreat by retail investors, dearth of upside drivers"
2024-05-03 15:24:23,Bitcoin falls 3.2% on a weekly basis as Fed keeps interest rate unchanged,"Bitcoin ( BTC-USD ) is set to post a weekly fall of 3.2% , in a week that saw the Federal Reserve strike a surprisingly more dovish tone while leaving rates unchanged. Bitcoin ( BTC-USD ) started the month on a disappointing note, as it fell to its lowest level seen in more than two months, and slid to $56.6K, before the Fed's decision came in on Wednesday. BTC, however, pared its losses on the day and rose back to the $58K mark, after the Fed decided to ease its quantitative tightening by slowing the pace of its balance sheet runoff, and held the rates steady for its sixth consecutive meeting. Chair Jerome Powell also ruled out rate hikes as the next likely move. The cryptocurrency has been steady since then, and stayed near the $58K mark. Bitcoin’s ( BTC-USD ) price has rebounded after the Federal Reserve tapered its QT program, which will serve to boost liquidity in the markets, CEO of Swan, a Bitcoin digital financial services firm, Cory Klippsten said. ""BTC is sitting above $60,000 and large capital allocators haven’t even arrived to the party yet. This, along the Fed returning to more accommodative policies, has investors bullish on Bitcoin’s future prospects,"" Klippsten added. The largest cryptocurrency has also been witnessing a sell-off, while the spot Bitcoin exchange-traded funds ((ETFs)) have seen outflows. Retail investors selling off cryptocurrencies alongside other headwinds is keeping J.P. Morgan cautious toward the market . On Thursday, U.S. Bitcoin ( BTC-USD ) ETFs witnessed its largest daily outflow since last August, as investors pulled $564M from 11 Bitcoin ETFs, the biggest pullout since the ETFs debuted in January. ""BTC-USD has shown a negative reaction following the recent halving event, contrary to historical trends,"" said SA analyst Income Generator, adding he expects BTC's short term trend to be downward, but long-term is more favorable. Bitcoin ( BTC-USD ) has dropped ~9% since the halving event took place on April 20. ""Most of the evidence appears to be centered in the positive direction, and this means that recent declines in BTC-USD could unveil new buying opportunities relatively soon,"" Income Generator added. Another SA analyst, Knox Ridley , also remained optimistic and said, ""Both technical and on-chain analysis support higher levels for Bitcoin, and as long as any further weakness holds $42,750, we view this dip as a buying opportunity."" Notable News Block ( SQ ) raised its full-year 2024 guidance , and also turned in Q1 earnings and revenue that topped Wall Street expectations. Coinbase Global ( COIN ) posted a strong Q1 earnings beat that reflected the surge in crypto trading when spot Bitcoin ETFs were approved. Stronghold Digital Mining ( SDIG ) is exploring a number of strategic alternatives that could include the sale of all or part of the Bitcoin ( BTC-USD ) miner. Riot Platforms ( RIOT ) achieved record quarterly earnings in Q1 2024 as the benefit of higher Bitcoin ( BTC-USD ) prices helped to offset lower BTC production and higher mining costs. Binance founder Changpeng Zhao received a prison sentence of four months after admitting guilt to charges tied to enabling money laundering within his crypto exchange. MicroStrategy ( MSTR ) turned in a wider-than-expected loss for the three-month period, as current accounting rules resulted in a large impairment charge against the value of its BTC stash. Interactive Brokers ( IBKR ) announced the launch of Hong Kong Spot Bitcoin and Ether Exchange Traded Products (ETPs) available to trade on the Hong Kong Stock Exchange. Bitcoin, Ether prices Bitcoin ( BTC-USD ) was up 4.1% to $61.6K at 3:17 pm on Friday, after the latest nonfarm payrolls report came in much cooler than expected, and Ether ( ETH-USD ) rose ~2.6% to $3.1K. More on cryptocurrencies Bitcoin: Future Results, Not Past Performance (Technical Analysis) We Are Raising Our Bitcoin Targets To $106K - $190K Bitcoin: Smart Money Is Taking Profits, Why Shouldn't You? J.P. Morgan cautious on crypto with retreat by retail investors, dearth of upside drivers Bitcoins ETFs had the largest outflows since August"
2024-05-03 10:23:16,"Bonds are in an early secular bear market, stocks in a late secular bull market - analyst","BofA Strategist Michael Hartnett said that bonds are in an “early secular bear market” that is driven by inflation. This is due to “fiscal excess, debt, war, deglobalization,” he wrote in a BofA “The Flow Show” report. The 30-year U.S. Treasury ( US30Y ) was down 40% during the past four years. The secular bear “is only over once electorates on Main St. (via elections) and Wall St. (via debt ratings, and failed auctions) vote for less fiscal excess,” he said. ( TBT ) ( TLT ) ( SHY ) ( IEI ) ( IEF ) Commodities, however, are in an “early secular bull market.” Gold ( XAUUSD:CUR ) has outperformed stocks ( SP500 ), ( COMP:IND ), ( DJI ) since the U.S-China trade war began in 2018. ( GLD ) ( USO ) ( PDBC ) Stocks, on the other hand, are “in late secular bull market” with no change in U.S. leadership -- namely, top tech stocks -- since 2019, and no recession to change leadership plus valuation, Hartnett said. ( SPY ) ( IVV ) ( VOO ) ( IWM ) ( IWR ) ( MDY ) According to him, this would end with a bubble and/or with a recession. Lastly, he said the U.S. dollar, is in a “secular bear market,” especially compared to cryptocurrencies ( BTC-USD ), ( ETH-USD ), ( BNB-USD ) and gold ( XAUUSD:CUR ). “U.S. debt/deficits require weaker FX to attract foreign capital and/or Fed support for Treasury via rate cuts,” he said, adding that the U.S. dollar cyclical bull on U.S. exceptionalism is driven by “exceptionally easy fiscal policy.” More on United States 30-Year Bond Yield: Weekly Forecast, April 19, 2024: Higher For 30 Years? Strong U.S. Retail Sales May Help Extend The Dollar's Recovery Yen Tumbles To New Low On BOJ Comments Treasury yields resume climb, J.P. Morgan flags risk of US2Y consolidating at 5% Treasury yields continue to climb, see what SA analysts have to say"
2024-05-03 02:08:23,Argo Blockchain reports April production update,"Argo Blockchain ( NASDAQ: ARBK ) mined 99 Bitcoin, or 3.3 Bitcoin per day during the month of April, the company said on Friday. Daily Bitcoin production in April remained the same as the prior month, despite the Bitcoin halving occurring on 19 April 2024. This is primarily due to a temporary but significant spike in transaction fees in the days immediately following the halving. Mining revenue in April amounted to $6.6 million, a decrease of 6% compared to the prior month. As of 30 April, the company held digital assets worth the equivalent of 12 Bitcoin. Source: Press Release More on Argo Blockchain Argo Blockchain 2023 revenue dips 14%, loss shrinks Argo Blockchain mines 103 bitcoins in March, a 5% rise M/M Seeking Alpha’s Quant Rating on Argo Blockchain"
2024-05-02 18:16:41,"J.P. Morgan cautious on crypto with retreat by retail investors, dearth of upside drivers","Retail investors selling off cryptocurrencies alongside other headwinds is keeping J.P. Morgan cautious toward the market. Bitcoin ( BTC-USD ) finished sharply lower in April, sinking 15% for the first monthly loss since August 2023. It traded close to $59,000 on Thursday, much lower than its all-time high above $73,000 in March. “The past two weeks saw significant selling/profit taking with perhaps retail investors playing a bigger role than institutional investors,” strategists led by Nikolaos Panigirtzoglou wrote in a Thursday note. Spot bitcoin ETFs logged outflows in April and retail investors appeared to have sold both crypto and equity assets during last month’s trade, the firm said. Panigirtzoglou also said the market is facing a trio of headwinds consisting of elevated positioning, high bitcoin prices compared with gold as well as estimated bitcoin production costs, and subdued crypto funding by venture capitalists. “In all, with a lack of positive catalysts, with the retail impulse dissipating and with the three headwinds mentioned … still in place, we maintain a cautious stance on crypto markets over the near term,” Panigirtzoglou said. In terms of institutional investors, J.P. Morgan said it’s mostly momentum traders such as Commodity Trading Advisors or other quantitative funds taking profit on previous extreme long positions in bitcoin as well as in gold. Some bitcoin ETFs to watch are Grayscale Bitcoin Trust ( GBTC ), BlackRock’s iShares Bitcoin Trust ( IBIT ) and Grayscale Bitcoin Trust ( GBTC ). More on Bitcoin USD Bitcoin: Future Results, Not Past Performance (Technical Analysis) We Are Raising Our Bitcoin Targets To $106K - $190K Bitcoin: Smart Money Is Taking Profits, Why Shouldn't You? Bitcoins ETFs had the largest outflows since August Bitcoin starts May with a downward spiral, sliding to below $60K mark"
2024-05-02 16:58:22,"Block stock jumps on stronger 2024 guidance; Q1 earnings, revenue beat","Block ( NYSE: SQ ) stock gapped up 6.2% in Thursday after-hours trading after the payment and fintech app company raised its full-year 2024 guidance, and also turned in Q1 earnings and revenue that topped Wall Street expectations. It now expects 2024 adjusted EBITDA of $2.76B, compared with the $2.68B Visible Alpha consensus and the previous view of $2.63B. Adjusted EBITDA margin is now expected to be 31% vs. 30% in the prior guidance. Gross profit for the year is anticipated to be $8.78B, implying 17% Y/Y growth, up from the previous target of $8.65B, which implied 15% annual growth. It sees adjusted operating income of $1.30B, implying 15% growth from 2023's level, compared with $1.15B in the previous projection. Adjusted operating income is expected to be 15% vs. the prior outlook of 13%. Rule of 40, which Block ( SQ ) calculates as gross profit growth plus adjusted operating income margin, is now expected to come in at 32% in 2024 compared with the prior target of 29%. Block still aims to achieve Rule of 40 in 2026. For Q2, the Jack Dorsey-founded company sees gross profit of $2.165B-$2.185B, adjusted EBITDA of $670M-$690M (vs. $647.4M Visible Alpha consensus), and adjusted operating income of $305M-$325M. It expects gross profit margin of 16%-17%, adjusted EBITDA margin of 31%-32%, and adjusted operating income margin of 14%-15%. The bitcoin vision Block ( SQ ) announced that, on a monthly basis, it will invest 10% of its gross profit from bitcoin ( BTC-USD ) products into purchases of bitcoin itself. The company called its new process the ""balance sheet dollar cost average program,"" which took effect last month. Its previous bitcoin-buying strategy included buying bitcoin ( BTC-USD ) in lump sums. ""By allocating a portion of our monthly bitcoin gross profits to bitcoin investment on a predetermined and recurring cadence, we sidestep the challenges of market timing,"" Block said in a memo . ""We believe this approach enables us to optimize our long-term investment position while minimizing the price risks associated with attempting to aggregate less frequent, larger purchases."" Q1 review Adjusted EPS of $0.85, beating the $0.73 average analyst estimate, nearly doubled from $0.46 in the prior quarter and $0.43 a year before. Gross payment volume of $54.4B, trailing the $55.6B Visible Alpha consensus, retreated from $57.5B in Q4 2023 and advanced from $51.1B in the year-ago quarter. Total net revenue of $5.96B, vs. $5.82B consensus, increased from $5.77B in Q4 2023 and $4.99B in Q1 2023. Gross profit rose to $2.09B from $2.03B in Q4 2023 and $1.71B in Q1 2023. The Cash App payment ecosystem generated gross profit of $1.26B, up 25% from a year ago, and Square saw gross profit of $820M, up 19% Y/Y. Adjusted EBITDA was $705.1M (vs. $588.6M Visible Alpha consensus), up from $562M in Q4 2023 and $368.4M in Q1 2023. More on Block Block: Building Momentum Block: Top Fintech Growth Stock Poised For A Breakout Block: Success In Chasing A Big Market Opportunity Deserves A Higher Target Price Block Non-GAAP EPS of $0.85 beats by $0.12, revenue of $5.96B beats by $140M Block expected to post blowout Q1 earnings on back of strong outlook"
2024-05-02 16:32:04,"Coinbase Q1 scores powerful beat, reflecting crypto trading surge","Coinbase Global ( NASDAQ: COIN ) stock fell 3.4% in Thursday after-hours trading even after the cryptocurrency exchange posted a strong Q1 earnings beat that reflected the surge in crypto trading when spot bitcoin ETFs were approved. The decline, though, occurred after the stock jumped 8.9% in regular-hours trading. The company expects Q2 2024 subscription and services revenue to be $525M-$600M vs. the Visible Alpha consensus of $500M. The outlook assumes that crypto prices stay within the range seen year-to-date. Transaction expenses are expected to be in the mid-teens as a percentage of net revenue. Guidance for Q2 technology & development and general & administrative expenses is $660M-$710M, driven primarily by elevated expenses associated with higher trading volumes (notably customer support and certain infrastructure expenses). Sales & marketing expenses are expected to be $150M-$180M. Trading volume in Q1 2024 surged to $312B from $154B in the previous quarter and $145B in the year-ago period. Q1 GAAP EPS of $4.40, vs. the average analyst estimate of $1.07, $1.04 in Q4 2023 and -$0.34 in Q1 2023. Q1 total revenue of $1.64B, beating the $1.34B consensus, rose from $953.8M in the prior quarter and $772.5M a year ago. Transaction revenue of $1.08B increased from $529.3M in Q4 and $374.7M in Q1 2023. Subscription and services revenue rose to $510.9M from $375.4M in the previous quarter and $361.7M in the year-ago period. Total operating expenses of $877.1M increased from $838.2M in the prior quarter and $896.4M a year ago. Adjusted EBITDA of $1.01B, topping the Visible Alpha estimate of $622.9M, climbed from $324.0M in Q4 and $286.6M in Q1 2023. Conference call at 5:30 PM ET. Earlier, Coinbase GAAP EPS of $4.40 beats by $3.33, revenue of $1.64B beats by $300M (Editor's note: Corrects typo in Q1 2024 transaction revenue in seventh paragraph.) More on Coinbase Coinbase's Stock Is A Steal At These Levels I'm Still Not Sure On Coinbase Coinbase: All About That Base Coinbase Q1 earnings: Can the crypto-market rally boost performance?"
2024-05-02 15:04:24,"Stronghold Digital Mining weighs alternatives, including potential sale","Stronghold Digital Mining ( NASDAQ: SDIG ) is exploring a number of strategic alternatives that could include the sale of all or part of the bitcoin ( BTC-USD ) miner, it said on Thursday. In conjunction with its mixed first-quarter results , Stronghold ( SDIG ) said it's ""considering a wide range of alternatives to maximize shareholder value, including, but not limited to, the sale of all or part of the Company, or another strategic transaction involving some, or all of, the assets of the Company."" The miner has retained Cohen and Company Capital Markets as a financial advisor and Vinson & Elkins LLP as a legal advisor as SDIG's board rolls out its review process, the deadline of which has not been set. Comparing Stronghold's ( SDIG ) market value to that of publicly-traded peers, ""we have observed what we believe to be valuation dislocation,"" Chairman and CEO Greg Beard said in a statement. In 2022 and 2023, Stronghold ( SDIG ) restructured its debt in a bid to avoid the liquidity issues that several of its peers had suffered during the 2022 market downturn. Shares of the eco-friendly miner are down 56% so far in 2024. More on Stronghold Digital Mining Stronghold Digital Mining, Inc. (SDIG) Q4 2023 Earnings Call Transcript Stronghold Digital Mining, Inc. 2023 Q4 - Results - Earnings Call Presentation Stronghold Digital mines 179 bitcoins in March Seeking Alpha’s Quant Rating on Stronghold Digital Mining"
2024-05-02 13:46:54,Bitcoin ETFs had the largest outflows since August,"U.S. Bitcoin ETFs see the largest daily outflow since last August. Investors have pulled $564M from 11 Bitcoin ETFs today, the biggest pullout since the ETFs debuted in January. Bitcoin ( BTC-USD ) is on pace for its worst week since August 2023, after a peak of almost $74,000 in March. This has affected ETFs such as Grayscale Bitcoin Trust ( GBTC ), which lost $167M in outflows; Fidelity Wise Origin Bitcoin Fund ( FBTC ), which lost a net $191M on Wednesday; and BlackRock’s iShares Bitcoin Trust ( IBIT ), with $37M in outflows. The ETFs still count with a net inflow of more than $11B, but demand has slowed as financial conditions remain tight in the U.S. Caroline Bowler, CEO of crypto exchange BTC Markets, said that “there has been a retrenchment in Bitcoin ( BTC-USD ) and outflows from the ETFs, but the overall picture is healthy in terms of ETF demand in different geographies.” More on Bitcoin USD: Bitcoin: Future Results, Not Past Performance (Technical Analysis) We Are Raising Our Bitcoin Targets To $106K - $190K Bitcoin: Smart Money Is Taking Profits, Why Shouldn't You? Bitcoin starts May with a downward spiral, sliding to below $60K mark Binance founder Changpeng Zhao ordered to spend four months in prison"
