,Open,High,Low,Close,Volume
2024-03-28 19:58:00,152.1500,152.1500,152.1500,152.1500,28
2024-03-28 19:57:00,152.1600,152.1600,152.1600,152.1600,2
2024-03-28 19:56:00,152.1500,152.1500,152.1500,152.1500,25
2024-03-28 19:55:00,152.1400,152.1500,152.1400,152.1500,155
2024-03-28 19:54:00,152.1200,152.1200,152.1200,152.1200,400
2024-03-28 19:53:00,152.1000,152.1000,152.1000,152.1000,1
2024-03-28 19:52:00,152.1000,152.1500,152.1000,152.1500,124
2024-03-28 19:51:00,152.1000,152.1500,152.1000,152.1500,3
2024-03-28 19:50:00,152.1200,152.1200,152.1000,152.1000,206
2024-03-28 19:49:00,152.0900,152.1200,152.0900,152.1200,40
2024-03-28 19:48:00,152.1500,152.1500,152.1200,152.1200,2
2024-03-28 19:47:00,152.1100,152.1500,152.1100,152.1500,18
2024-03-28 19:45:00,152.1100,152.1100,152.1100,152.1100,20
2024-03-28 19:44:00,152.1200,152.1200,152.1200,152.1200,1
2024-03-28 19:42:00,152.1400,152.1500,152.1200,152.1200,25
2024-03-28 19:40:00,152.1400,152.1400,152.0900,152.0900,6
2024-03-28 19:39:00,152.1200,152.1200,152.1200,152.1200,16
2024-03-28 19:38:00,152.0900,152.1500,152.0900,152.0900,8
2024-03-28 19:37:00,152.1200,152.1200,152.1200,152.1200,2
2024-03-28 19:36:00,152.1400,152.1500,152.1200,152.1200,33
2024-03-28 19:35:00,152.1100,152.1500,152.1100,152.1500,7
2024-03-28 19:33:00,152.1500,152.1500,152.0900,152.0900,3
2024-03-28 19:32:00,152.0900,152.1000,152.0300,152.0300,152
2024-03-28 19:29:00,152.1200,152.1200,152.0900,152.0900,301
2024-03-28 19:28:00,152.0600,152.0600,152.0600,152.0600,35
2024-03-28 19:27:00,152.1050,152.1050,152.1050,152.1050,1
2024-03-28 19:26:00,152.1000,152.1000,152.1000,152.1000,4
2024-03-28 19:25:00,152.0900,152.1200,152.0900,152.1200,2
2024-03-28 19:24:00,152.1300,152.1300,152.1000,152.1000,45
2024-03-28 19:22:00,152.1300,152.1300,152.1300,152.1300,5
2024-03-28 19:21:00,152.1500,152.1500,152.1500,152.1500,44
2024-03-28 19:20:00,152.1300,152.1300,152.1300,152.1300,1
