date,headline,description
2024-04-09 12:00:00,"Paradigm leads $225 million round for Monad Labs, which is building a layer-1 blockchain to take on Ethereum and Solana",The crypto firm founded by ex-Jump Crypto traders also received investment from Electric Capital and Neil Mehta's Greenoaks Capital.
2024-04-29 15:40:25,Are crypto partnerships back? Eminem becomes new voice of Crypto.com,Eminem is narrating a new Crypto.com commercial. Are celebrity ambassadors prepared to put 2022 behind them?
2024-05-01 13:00:00,Ex-Coinbase designer raises $5M for crypto voting service Agora,"Protocol governance has a ""reputation of being chaotic."" Agora wants to change that."
2024-04-24 13:00:00,Crypto app Strike launches Bitcoin services across Europe,Founder and CEO Jack Mallers said the company is profitable after an $80 million funding round in 2022.
2024-04-16 12:47:36,7 people with power at Coinbase,The list contains senior executives but also a few surprises from other parts of the flagship crypto company.
2024-04-05 17:09:41,FTX just sold nearly $2 billion of SOL at a steep discount. Here’s what that means for creditors,The bankrupt crypto exchange FTX has reportedly sold about two-thirds of its $2.6 billion in Solana tokens.
2024-04-30 19:02:46,"Binance founder Changpeng ‘CZ’ Zhao sentenced to 4 months in prison, will enter as country’s richest inmate","The settlement came amid a string of enforcement actions against crypto industry leaders, including FTX's Sam Bankman-Fried."
2024-04-19 19:56:39,Don’t call it a stablecoin: How did a ‘synthetic dollar’ generate a yield of 113%?,"DEK: Tokenizing the cash-and-carry trade, Ethena is turning heads in the crypto market. But some worry its risks are being overlooked amid the latest bull run."
2024-05-01 17:02:59,"Bitcoin tumbles below $57,000 on day of Fed meeting","With slowing ETF inflows and the Bitcoin halving in the rearview, the crypto industry is facing macroeconomic conditions, which are ""cloudy at best.”"
2024-05-02 13:00:00,Ex-DFS regulator raises $5.1 million for crypto venture fund backed by Winklevoss twins and Robert Leshner,Matthew Homer was formerly an executive deputy superintendent at the New York Department of Financial Services.
2024-04-11 11:00:00,Buying crypto for your kids? Here’s how to ensure they get it when when you pass on,Don’t let lost keys or blockchain blackholes become your legacy.
2024-04-09 13:00:00,Anthony Pompliano and ex-TechCrunch reporter launch Token Relations to improve crypto projects’ communications,"The project, which is bootstrapped by Pompliano, counts Avalanche, Aptos, and Optimism as launch partners."
2024-04-10 18:16:50,SEC moves to sue Uniswap in bid to hobble fast-growing DeFi sector,The SEC's impending lawsuit against Uniswap Labs will be a major test for the emerging DeFi sector.
2024-05-01 12:00:00,BlackRock leads $47 million round for Securitize: ‘Another step in the evolution of our digital assets strategy’,"Other investors include Hamilton Lane and Tradeweb Markets, with traditional financial firms diving headfirst into tokenization."
2024-04-10 16:21:15,‘The kids are not all right’: Gen Zers and millennials are as likely to own crypto as real estate,A survey found that about one-fifth of younger generations own digital assets—about the same portion as who own real estate—and that they're also more likely to own crypto than stocks.
2024-04-04 11:00:00,DeFi developers behind crypto exchange Phoenix close $20 million Series A round,"Led by Paradigm, Ellipsis Labs today announced $20 million in Series A funding to accelerate Phoenix, its decentralized spot exchange."
2024-04-17 15:00:00,"Worldcoin, Sam Altman’s eye-scanning crypto project, announces its own blockchain",The blockchain will be deeply entwined with the Worldcoin protocol and is aimed at accelerating adoption of World ID.
2024-04-23 16:44:48,"Following ‘halving,’ Bitcoin makes slight gains as shares of crypto-linked firms soar","Bitcoin is up less than 4% since the halving, but related stock prices are seeing bigger gains."
2024-04-25 18:01:08,"SEC sued over Ethereum, crypto firm asks court to state token is not a security","The lawsuit was filed by MetaMask-maker Consensys, which is seeking an injunction to block the SEC from investigating Ethereum."
2024-04-30 18:54:07,Feds charge ‘Bitcoin Jesus’ with $50 million tax fraud,Roger Ver is a famous figure from the early days of Bitcoin who renounced his citizenship.
2024-04-30 21:28:54,PayPal CEO nods to ‘compelling’ stablecoin potential as total Q1 payments rise 14%,"PayPal's quarterly earnings were up, but its CEO stayed relatively quiet on the company's new stablecoin."
2024-04-15 15:07:00,Why VCs are pouring hundreds of millions of dollars into a little-known AI crypto project called Bittensor,"Prominent blockchain firms including Polychain, Digital Currency Group, and dao5 are buying up TAO, the token for the decentralized AI company Bittensor."
2024-04-16 16:38:15,Bitcoin struggles to regain momentum after weekend wipeout erased more than 10%,"Since Bitcoin’s sudden tumble on Saturday, the original cryptocurrency has been hovering near $62,000."
2024-04-14 15:57:10,Bitcoin 'halving' will cost crypto miners $10 billion a year in lost revenue and 'could well determine who comes out ahead and who gets left behind',"Around April 20, the halving will cut the amount of Bitcoin that “miners” can earn each day for validating transactions to 450 from 900 now."
