name,symbol
Bitcoin,BTC
Litecoin,LTC
Namecoin,NMC
Terracoin,TRC
Peercoin,PPC
Novacoin,NVC
Feathercoin,FTC
Mincoin,MNC
MainCoin,MNC
Freicoin,FRC
Ixcoin,IXC
Bitball,BTB
Bitbar,BTB
Wisdom Chain,WDC
WorldCoin,WDC
Digitalcoin,DGC
Goldcoin,GLC
Argentum,ARG
Fastcoin,FST
Phoenixcoin,PXC
Megacoin,MEC
Infinitecoin,IFC
Primecoin,XPM
Anoncoin,ANC
Casinocoin,CSC
Bullion,CBX
Emerald Crypto,EMD
XRP,XRP
Quark,QRK
Zetacoin,ZET
Sexcoin,SXC
Tagcoin,TAG
I0Coin,I0C
NXT,NXT
Unobtanium,UNO
Joulecoin,XJO
Datacoin,DTC
DAOBet,BET
Global Digital Content,GDC
Deutsche eMark,DEM
Dogecoin,DOGE
Netcoin,NET
Diamond,DMD
Hobonickels,HBN
Orbitcoin,ORB
Omni,OMNI
Fedoracoin,TIPS
RonPaulCoin,RPC
Racing Pigeon Chain,RPC
Mooncoin,MOON
Dimecoin,DIME
42-coin,42
Vertcoin,VTC
DigiByte,DGB
Smartcoin,SMC
NobleCoin,NOBL
Reddcoin,RDD
Nyancoin,NYAN
Potcoin,POT
Maxcoin,MAX
Dash,DASH
Counterparty,XCP
Cachecoin,CACH
Mintcoin,MINT
DopeCoin,DOPE
Auroracoin,AUR
Animecoin,ANI
Marscoin,MARS
Pandacoin,PND
Maza,MZC
Uniform Fiscal Object,UFO
BlackCoin,BLK
Litbinex Coin,LTB
LiteBar,LTB
Photon,PHO
Zeitcoin,ZEIT
Myriad,XMY
DNotes,NOTE
Einsteinium,EMC2
Bitcoin Scrypt,BTCS
ECC,ECC
MonaCoin,MONA
Rubycoin,RBY
Belacoin,BELA
Flit Token,FLT
Fluttercoin,FLT
888tron,888
Octocoin,888
Faircoin,FAIR
Electronic Gulden,EFL
Gulden,NLG
PlatinCoin,PLC
Groestlcoin,GRS
PetroDollar,XPD
Whitecoin,XWC
POP Network Token,POP
PopularCoin,POP
Bitcoinus,BITS
Bitstar,BITS
Quebecoin,QBC
Bluecoin,BLU
MaidSafeCoin,MAID
Bitcoin Plus,XBC
NewYorkCoin,NYC
Guncoin,GUN
Pinkcoin,PINK
DoDreamChain,DRM
Dreamcoin,DRM
CoffeeCoin,COF
Energycoin,ENRG
VeriCoin,VRC
TEKcoin,TEK
Monero,XMR
Litecoin Plus,LCP
Curecoin,CURE
CryptCoin,CRYPT
SuperCoin,SUPER
Motocoin,MOTO
Cloakcoin,CLOAK
BitSend,BSD
Bytecoin,BCN
ArtByte,ABY
NavCoin,NAV
GreenPower,GRN
Startcoin,START
DigitalNote,XDN
BoolBerry,BBR
Safe Haven,SHA
Hempcoin,THC
Stealth,XST
Harmony Block Capital,TRUST
Clams,CLAM
BitShares,BTS
Truckcoin,TRK
Viacoin,VIA
I/O Coin,IOC
Carboncoin,CARBON
CannabisCoin,CANN
Stellar,XLM
Titcoin,TIT
HyperStake,HYP
Joincoin,J
Syscoin,SYS
Bitmark,MARKS
Halcyon,HAL
EmerCoin,EMC
GameCredits,GAME
Ubiq,UBQ
Bunnycoin,BUN
Opal,OPAL
Acoin,ACOIN
bitCNY,BITCNY
NuBits,USNBT
Magi,XMG
ExclusiveCoin,EXCL
Trollcoin,TROLL
GlobalBoost-Y,BSTY
DigitalPrice,DP
Prime-XI,PXI
SwiftCash,SWIFT
Bitswift,BITS
AurumCoin,AU
Sativacoin,STV
Verge,XVG
NuShares,NSR
MonetaryUnit,MUE
Blocknet,BLOCK
Gapcoin,GAP
Crown,CRW
BitBay,BAY
GCN Coin,GCN
Quotient,XQN
Bitcoin Fast,BCF
OKCash,OK
Unitus,UIS
GoldPieces,GP
Circuits of Value,COVAL
Nexus,NXS
IncaKoin,NKA
Smileycoin,SMLY
Machinecoin,MAC
Kobocoin,KOBO
Bean Cash,BITB
Geocoin,GEO
Tether,USDT
Wild Beast Block,WBB
Gridcoin,GRC
X-Coin,XCO
LiteDoge,LDOGE
SongCoin,SONG
Woodcoin,LOG
Crave,CRAVE
NEM,XEM
Neutron,NTRN
Xaurum,XAUR
Californium,CF
Advanced Integrated Blocks,AIB
Sphere,SPHR
Medic Coin,MEDIC
Universal Currency,UNIT
ParkByte,PKB
Gambit,GAM
Bata,BTA
AudioCoin,ADC
Android chain,ADC
Synergy,SNRG
Fujicoin,FJC
EuropeCoin,ERC
Ratecoin,XRA
Crevacoin,CREVA
BitZeny,ZNY
BowsCoin,BSC
